formatted_address,name,place_id,url,user_ratings_total
"1609 Jones St, Springfield, TN 37172, USA",Fast Pace Urgent Care Springfield,ChIJ33sW5OlVZIgRVEKGVsnpA0A,https://maps.google.com/?cid=4612787494306857556,56
"101 W Broad St, Smithville, TN 37166, USA",Fast Pace Urgent Care Smithville,ChIJdZWpZ_HOZogRaOeWT1LIsvw,https://maps.google.com/?cid=18208836499260499816,46
"1401 N Main St, Shelbyville, TN 37160, USA",Fast Pace Urgent Care Shelbyville,ChIJwZ4ZcIjCY4gRr4AiRJub8L0,https://maps.google.com/?cid=13686610358744285359,70
"235 TN-52, Portland, TN 37148, USA",Fast Pace Urgent Care Portland,ChIJBeQWCT_LZYgRfR96wbRs2qI,https://maps.google.com/?cid=11734811302663167869,58
"931 Old Smithville Rd, McMinnville, TN 37110, USA",Fast Pace Urgent Care McMinnville,ChIJd3oDakgwYYgR9qTcntvmEOQ,https://maps.google.com/?cid=16433888871212426486,59
"641 E Commerce St, Lewisburg, TN 37091, USA",Fast Pace Urgent Care Lewisburg,ChIJnfec_nmjY4gRpvYopTKnfXU,https://maps.google.com/?cid=8466106710487529126,65
"502 Ellington Dr, Lafayette, TN 37083, USA",Fast Pace Urgent Care Lafayette,ChIJmemDVN2JZogR7Ek-Jv3VGwg,https://maps.google.com/?cid=584295859919669740,12
"2377 Fairview Blvd, Fairview, TN 37062, USA",Fast Pace Urgent Care Fairview,ChIJ25HDd5meZIgR0_ySg5jIzXc,https://maps.google.com/?cid=8632776618107141331,65
"718 E College St, Dickson, TN 37055, USA",Fast Pace Urgent Care Dickson,ChIJ9SkRcmq7ZIgRX4IYTimMM7Y,https://maps.google.com/?cid=13128991447746904671,5
"1140 TN-100, Centerville, TN 37033, USA",Fast Pace Urgent Care Centerville,ChIJQ31HzTRRY4gRZr9zrckPC7U,https://maps.google.com/?cid=13045538104481660774,21
"573 Carthage Bypass, Carthage, TN 37030, USA",Fast Pace Urgent Care Carthage,ChIJ7xWggeiUZogRor-33yEBNxc,https://maps.google.com/?cid=1672807031590338466,46
"305 Hill St, Ellisville, MS 39437, USA",Fast Pace Urgent Care Ellisville,ChIJRRAioA3NnIgRJt7BilBuaT8,https://maps.google.com/?cid=4569304589148479014,3
"1130 W Frontage Dr, Wiggins, MS 39577, USA",Fast Pace Urgent Care Wiggins,ChIJo_kTNktfnIgR2XrwFNEuvIo,https://maps.google.com/?cid=9996916748390005465,6
"1038 Northwest Ave, McComb, MS 39648, USA",Fast Pace Urgent Care McComb,ChIJ6YdEWUq3J4YReH8m0bv52GY,https://maps.google.com/?cid=7410947771901312888,1
